ORIGEM 2,DESTINO 2,motivo_ajustado,Com que frequência você faz essa viagem?,A viagem foi realizada em qual período do dia?
Alcântara,São Luís - Bancaga,Serviços ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,2 a 3 vezes ao mês,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,2 a 3 vezes ao mês,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Trabalho,Semanalmente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Trabalho,Semanalmente,Madrugada (00h - 5h)
Alcântara,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Alcântara,São Luís - Zona Industrial,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Alcântara,São José de Ribamar,Outros,Raramente,Noite (18h - 00h)
Alcântara,Alcântara,Lazer / Turismo,Raramente,Noite (18h - 00h)
Alcântara,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Alcântara,São Luís - Centro,Saúde ,2 a 3 vezes ao mês,Manhã (5h - 12h)
Alcântara,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Alcântara,São Luís - Cohab,Lazer / Turismo,Raramente,Tarde (12h - 18h)
Anapurus ,São Luís - Cohama,Estudo,2 a 3 vezes ao mês,Manhã (5h - 12h)
Araguanã,São Luís - Cohab,Lazer / Turismo,Raramente,Madrugada (00h - 5h)
Arari ,São Luís - Centro,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Arari ,São Luís - Centro,Compras (Comércio),Raramente,Manhã (5h - 12h)
Axixá,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Axixá,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Axixá,São Luís - Cohama,Saúde ,Raramente,Manhã (5h - 12h)
Bacabeira,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Bacabeira,São Luís - Centro,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
Bacabeira,São Luís - Cohab,Saúde ,Raramente,Manhã (5h - 12h)
Bacabeira,São Luís - Cohama,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Bacabeira,São Luís - Zona Industrial,Trabalho,Diariamente,Manhã (5h - 12h)
Barreirinhas,São Luís - Zona Industrial,Trabalho,Raramente,Manhã (5h - 12h)
Barreirinhas ,São Luís - Cohama,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Buriti ,São Luís - Cidade Operária,Saúde ,Raramente,Manhã (5h - 12h)
Cachoeira Grande,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Cafeteira,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Cafeteira ,São Luís - Cohab,Estudo,3 a 5 vezes por semana,Tarde (12h - 18h)
Cajari,São Luís - Cohab,Lazer / Turismo,Raramente,Tarde (12h - 18h)
Caxias ,São Luís - Cidade Operária,Lazer / Turismo,Raramente,Madrugada (00h - 5h)
Ceará,Viçosa,Outros,Raramente,Noite (18h - 00h)
Coelho Neto,São Luís - Zona Industrial,Saúde ,Raramente,Manhã (5h - 12h)
Coroata,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Guimarães ,Alcântara,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Icatu,São José de Ribamar,Estudo,Raramente,Madrugada (00h - 5h)
Icatu,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Icatu,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Icatu,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Icatu,São Luís - Cidade Operária,Estudo,Diariamente,Manhã (5h - 12h)
Icatu,Morros,Serviços ,Raramente,Manhã (5h - 12h)
Icatu,Morros,Serviços ,Raramente,Manhã (5h - 12h)
Icatu,Morros,Serviços ,2 a 3 vezes ao mês,Manhã (5h - 12h)
Icatu,Morros,Serviços ,Semanalmente,Manhã (5h - 12h)
Icatu,Morros,Serviços ,Raramente,Manhã (5h - 12h)
Icatu,Morros,Serviços ,Raramente,Manhã (5h - 12h)
Icatu,Rosário,Saúde ,Raramente,Manhã (5h - 12h)
Icatu,Rosário,Serviços ,Raramente,Manhã (5h - 12h)
Icatu,São Luís - Cidade Operária,Estudo,Diariamente,Madrugada (00h - 5h)
Iguaiba,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Imperatriz ,Raposa,Outros,Raramente,Manhã (5h - 12h)
Itapecuru Mirim,Itapecuru mirim ,Visitar familiares ,Raramente,Manhã (5h - 12h)
Itapecuru Mirim,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Itapecuru Mirim,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Itapecuru Mirim,São Luís - Cohama,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Itapecuru Mirim ,São Luís - Cohama,Compras (Comércio),Raramente,Manhã (5h - 12h)
Lago da pedra,São Luís - Cohab,Estudo,2 a 3 vezes ao mês,Madrugada (00h - 5h)
Lago da Pedra ,São Luís - Cohab,Outros,2 a 3 vezes ao mês,Tarde (12h - 18h)
Matinha,São Luís - Centro,Estudo,2 a 3 vezes ao mês,Manhã (5h - 12h)
Matinha ,São Luís - Centro,Trabalho,Semanalmente,Noite (18h - 00h)
Matinha ,São Luís - Cidade Operária,Saúde ,Raramente,Manhã (5h - 12h)
Miranda do Norte ,São Luís - Cohama,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Morros,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Morros,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Morros,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Morros,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Morros,Morros,Lazer / Turismo,Raramente,Noite (18h - 00h)
Morros,Raposa,Serviços ,Raramente,Tarde (12h - 18h)
Morros,Rosário,Trabalho,Diariamente,Manhã (5h - 12h)
Morros,Rosário,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Morros,Rosário,Trabalho,2 a 3 vezes ao mês,Tarde (12h - 18h)
Morros,Rosário,Compras (Comércio),2 a 3 vezes ao mês,Tarde (12h - 18h)
Morros,Santa Rita,Trabalho,2 a 3 vezes ao mês,Tarde (12h - 18h)
Morros,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Morros,São Luís - Centro,Outros,2 a 3 vezes ao mês,Manhã (5h - 12h)
Morros,São Luís - Cohab,Lazer / Turismo,2 a 3 vezes ao mês,Manhã (5h - 12h)
Nova terra,São Luís - Centro,Estudo,Diariamente,Manhã (5h - 12h)
Nova terra,São Luís - Centro,Estudo,Diariamente,Noite (18h - 00h)
Nova terra,São Luís - Centro,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
Nova terra,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Nova terra,São Luís - Centro,Serviços ,1 a 2 vezes por semana,Manhã (5h - 12h)
Nova terra,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Nova terra,São Luís - Cohama,Estudo,Diariamente,Noite (18h - 00h)
Nova terra ,São Luís - Centro,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Nova terra ,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Olinda nova ,São Luís - Centro,Saúde ,Raramente,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Barreirinhas,Trabalho,Raramente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Raposa,Trabalho,Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Lazer / Turismo,2 a 3 vezes ao mês,Tarde (12h - 18h)
Paço do Lumiar,São José de Ribamar,Trabalho,Diariamente,Madrugada (00h - 5h)
Paço do Lumiar,Paço do Lumiar,Trabalho,3 a 5 vezes por semana,Tarde (12h - 18h)
Paço do Lumiar,Paço do Lumiar,Saúde ,2 a 3 vezes ao mês,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Saúde ,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Estudo,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Raramente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Saúde ,1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Saúde ,1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Serviços ,Raramente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Saúde ,Raramente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Saúde ,Raramente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Madrugada (00h - 5h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Saúde ,Raramente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Saúde ,Raramente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Lazer / Turismo,1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Saúde ,Raramente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Saúde ,1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Saúde ,Raramente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Compras (Comércio),Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,Paço do Lumiar,Trabalho,Semanalmente,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Trabalho,Diariamente,Madrugada (00h - 5h)
Paço do Lumiar,São José de Ribamar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Estudo,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São José de Ribamar,Estudo,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São José de Ribamar,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Lazer / Turismo,1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Compras (Comércio),1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São José de Ribamar,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Bancaga,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Bancaga,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Bancaga,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Bancaga,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Bancaga,Trabalho,Diariamente,Madrugada (00h - 5h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,3 a 5 vezes por semana,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Centro,Estudo,Semanalmente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Centro,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Centro,Estudo,3 a 5 vezes por semana,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Centro,Outros,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Centro,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Outros,1 a 2 vezes por semana,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Saúde ,2 a 3 vezes ao mês,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Noite (18h - 00h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Centro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,3 a 5 vezes por semana,Noite (18h - 00h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Noite (18h - 00h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Outros,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cidade Operária,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cohab,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Outros,Raramente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Trabalho,3 a 5 vezes por semana,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Estudo,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cohab,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Trabalho,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Estudo,3 a 5 vezes por semana,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohab,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Madrugada (00h - 5h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Estudo,1 a 2 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Trabalho,3 a 5 vezes por semana,Noite (18h - 00h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Lazer / Turismo,Raramente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Cohama,Estudo,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Cohama,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Estudo,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Luís - Zona Industrial,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Serviços ,2 a 3 vezes ao mês,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Zona Industrial,Trabalho,Diariamente,Tarde (12h - 18h)
Paço do Lumiar,São Pedro,Trabalho,Diariamente,Manhã (5h - 12h)
Paço do Lumiar,São Bento,Outros,Raramente,Madrugada (00h - 5h)
Paço do Lumiar,São Luís - Cidade Operária,Estudo,3 a 5 vezes por semana,Manhã (5h - 12h)
Paço do Lumiar,São Luís - Bancaga,Trabalho,Semanalmente,Tarde (12h - 18h)
